i,j,t,price,advertised
86,6,0,0.7991545048137135,0
89,6,0,0.7991545048137135,0
91,11,0,2.631538456820416,0
94,33,0,0.2777588429399788,0
95,6,0,0.7991545048137135,0
98,1,0,0.8633406232955072,0
99,1,0,0.8633406232955072,0
100,6,0,0.7991545048137135,0
101,1,0,0.8633406232955072,0
102,3,0,0.6999853275868002,0
105,1,0,0.8633406232955072,0
105,28,0,1.1488874302754521,0
106,10,0,2.973728255337596,0
107,14,0,3.1496197739380114,0
107,21,0,0.875687688935052,0
108,6,0,0.7991545048137135,0
109,5,0,1.7508352836007226,0
110,1,0,0.8633406232955072,0
110,6,0,0.7991545048137135,0
111,11,0,2.631538456820416,0
112,6,0,0.7991545048137135,0
113,30,0,1.9613645717401385,0
119,13,0,2.2954513216770565,0
120,6,0,0.7991545048137135,0
121,34,0,2.213436921491774,0
122,0,0,1.717944123146448,0
127,6,0,0.7991545048137135,0
129,2,0,3.3660602524727894,0
129,6,0,0.7991545048137135,0
130,3,0,0.6999853275868002,0
131,6,0,0.7991545048137135,0
134,33,0,0.2777588429399788,0
135,13,0,2.2954513216770565,0
136,13,0,2.2954513216770565,0
139,17,0,2.2959951212550305,0
140,7,0,2.1374511574572037,0
142,0,0,1.717944123146448,0
142,33,0,0.2777588429399788,0
143,33,0,0.2777588429399788,0
144,24,0,1.498130459383808,0
146,33,0,0.2777588429399788,0
148,6,0,0.7991545048137135,0
149,6,0,0.7991545048137135,0
149,30,0,1.9613645717401385,0
150,0,0,1.717944123146448,0
156,2,0,3.3660602524727894,0
159,6,0,0.7991545048137135,0
159,15,0,0.9243504260235744,0
159,30,0,1.9613645717401385,0
160,15,0,0.9243504260235744,0
161,6,0,0.7991545048137135,0
161,15,0,0.9243504260235744,0
162,34,0,2.213436921491774,0
162,38,0,1.5376776891587869,0
163,15,0,0.9243504260235744,0
164,26,0,2.3028292670530983,0
164,37,0,2.9415081807703336,0
172,15,0,0.9243504260235744,0
173,1,0,0.8633406232955072,0
176,6,0,0.7991545048137135,0
177,33,0,0.2777588429399788,0
181,0,0,1.717944123146448,0
182,1,0,0.8633406232955072,0
183,34,0,2.213436921491774,0
186,13,0,2.2954513216770565,0
187,7,0,2.1374511574572037,0
188,0,0,1.717944123146448,0
188,30,0,1.9613645717401385,0
190,6,0,0.7991545048137135,0
190,34,0,2.213436921491774,0
191,1,0,0.8633406232955072,0
191,39,0,1.2818617174526399,0
192,34,0,2.213436921491774,0
193,6,0,0.7991545048137135,0
194,6,0,0.7991545048137135,0
194,15,0,0.9243504260235744,0
195,10,0,2.973728255337596,0
195,33,0,0.2777588429399788,0
197,34,0,2.213436921491774,0
202,34,0,2.213436921491774,0
203,3,0,0.6999853275868002,0
203,7,0,2.1374511574572037,0
204,6,0,0.7991545048137135,0
204,13,0,2.2954513216770565,0
205,1,0,0.8633406232955072,0
208,6,0,0.7991545048137135,0
209,6,0,0.7991545048137135,0
211,33,0,0.2777588429399788,0
212,7,0,2.1374511574572037,0
212,16,0,0.8132380099239533,0
215,6,0,0.7991545048137135,0
215,28,0,1.1488874302754521,0
215,34,0,2.213436921491774,0
216,35,0,1.1535440860890345,0
219,39,0,1.2818617174526399,0
221,0,0,1.717944123146448,0
222,3,0,0.6999853275868002,0
222,39,0,1.2818617174526399,0
223,6,0,0.7991545048137135,0
223,14,0,3.1496197739380114,0
224,13,0,2.2954513216770565,0
229,1,0,0.8633406232955072,0
229,30,0,1.9613645717401385,0
231,1,0,0.8633406232955072,0
231,6,0,0.7991545048137135,0
232,1,0,0.8633406232955072,0
232,6,0,0.7991545048137135,0
232,30,0,1.9613645717401385,0
232,32,0,1.795104620583242,0
234,9,0,2.8829650619604763,0
234,39,0,1.2818617174526399,0
237,1,0,0.8633406232955072,0
238,29,0,1.3732934469615579,0
241,7,0,2.1374511574572037,0
242,1,0,0.8633406232955072,0
243,0,0,1.717944123146448,0
244,39,0,1.2818617174526399,0
253,12,0,2.417826650659625,0
254,0,0,1.717944123146448,0
254,30,0,1.9613645717401385,0
255,15,0,0.9243504260235744,0
255,31,0,1.9464986074611887,0
260,11,0,2.631538456820416,0
265,1,0,0.8633406232955072,0
268,30,0,1.9613645717401385,0
269,1,0,0.8633406232955072,0
272,39,0,1.2818617174526399,0
273,6,0,0.7991545048137135,0
274,33,0,0.2777588429399788,0
275,1,0,0.8633406232955072,0
275,8,0,1.4461257405202552,0
276,15,0,0.9243504260235744,0
277,24,0,1.498130459383808,0
277,28,0,1.1488874302754521,0
277,30,0,1.9613645717401385,0
278,17,0,2.2959951212550305,0
281,5,0,1.7508352836007226,0
283,0,0,1.717944123146448,0
284,15,0,0.9243504260235744,0
285,3,0,0.6999853275868002,0
285,30,0,1.9613645717401385,0
287,6,0,0.7991545048137135,0
287,28,0,1.1488874302754521,0
290,15,0,0.9243504260235744,0
293,2,0,3.3660602524727894,0
295,1,0,0.8633406232955072,0
296,0,0,1.717944123146448,0
296,29,0,1.3732934469615579,0
300,5,0,1.7508352836007226,0
300,39,0,1.2818617174526399,0
302,6,0,0.7991545048137135,0
302,7,0,2.1374511574572037,0
302,8,0,1.4461257405202552,0
304,6,0,0.7991545048137135,0
306,1,0,0.8633406232955072,0
309,34,0,2.213436921491774,0
309,39,0,1.2818617174526399,0
313,6,0,0.7991545048137135,0
315,30,0,1.9613645717401385,0
315,39,0,1.2818617174526399,0
317,2,0,3.3660602524727894,0
318,5,0,1.7508352836007226,0
318,15,0,0.9243504260235744,0
319,6,0,0.7991545048137135,0
320,2,0,3.3660602524727894,0
321,3,0,0.6999853275868002,0
322,6,0,0.7991545048137135,0
323,6,0,0.7991545048137135,0
324,6,0,0.7991545048137135,0
325,34,0,2.213436921491774,0
329,5,0,1.7508352836007226,0
329,33,0,0.2777588429399788,0
330,6,0,0.7991545048137135,0
333,6,0,0.7991545048137135,0
335,6,0,0.7991545048137135,0
335,17,0,2.2959951212550305,0
337,16,0,0.8132380099239533,0
337,33,0,0.2777588429399788,0
338,14,0,3.1496197739380114,0
342,5,0,1.7508352836007226,0
342,18,0,1.9614636781999089,0
343,25,0,3.023893482648194,0
344,30,0,1.9613645717401385,0
345,0,0,1.717944123146448,0
345,6,0,0.7991545048137135,0
345,30,0,1.9613645717401385,0
347,6,0,0.7991545048137135,0
348,1,0,0.8633406232955072,0
348,6,0,0.7991545048137135,0
348,34,0,2.213436921491774,0
351,1,0,0.8633406232955072,0
351,6,0,0.7991545048137135,0
355,7,0,2.1374511574572037,0
361,13,0,2.2954513216770565,0
362,1,0,0.8633406232955072,0
364,6,0,0.7991545048137135,0
364,21,0,0.875687688935052,0
364,35,0,1.1535440860890345,0
365,6,0,0.7991545048137135,0
366,6,0,0.7991545048137135,0
369,21,0,0.875687688935052,0
370,13,0,2.2954513216770565,0
371,6,0,0.7991545048137135,0
372,6,0,0.7991545048137135,0
374,0,0,1.717944123146448,0
374,6,0,0.7991545048137135,0
376,13,0,2.2954513216770565,0
385,15,0,0.9243504260235744,0
385,39,0,1.2818617174526399,0
386,3,0,0.6999853275868002,0
386,26,0,2.3028292670530983,0
387,17,0,2.2959951212550305,0
388,5,0,1.7508352836007226,0
389,22,0,2.885822656397464,0
390,10,0,2.973728255337596,0
391,14,0,3.1496197739380114,0
392,1,0,0.8633406232955072,0
393,5,0,1.7508352836007226,0
393,6,0,0.7991545048137135,0
394,39,0,1.2818617174526399,0
397,6,0,0.7991545048137135,0
397,27,0,0.9715113243046553,0
398,6,0,0.7991545048137135,0
398,34,0,2.213436921491774,0
399,6,0,0.7991545048137135,0
399,11,0,2.631538456820416,0
399,15,0,0.9243504260235744,0
400,30,0,1.9613645717401385,0
400,39,0,1.2818617174526399,0
401,8,0,1.4461257405202552,0
402,2,0,3.3660602524727894,0
403,23,0,2.150026269772477,0
406,34,0,2.213436921491774,0
410,39,0,1.2818617174526399,0
412,30,0,1.9613645717401385,0
413,14,0,3.1496197739380114,0
414,6,0,0.7991545048137135,0
417,33,0,0.2777588429399788,0
419,33,0,0.2777588429399788,0
419,36,0,1.2868525769099313,1
420,8,0,1.4461257405202552,0
421,6,0,0.7991545048137135,0
421,30,0,1.9613645717401385,0
422,24,0,1.498130459383808,0
423,6,0,0.7991545048137135,0
425,30,0,1.9613645717401385,0
428,6,0,0.7991545048137135,0
428,10,0,2.973728255337596,0
429,0,0,1.717944123146448,0
429,2,0,3.3660602524727894,0
430,7,0,2.1374511574572037,0
430,24,0,1.498130459383808,0
431,5,0,1.7508352836007226,0
433,30,0,1.9613645717401385,0
435,30,0,1.9613645717401385,0
435,39,0,1.2818617174526399,0
437,6,0,0.7991545048137135,0
440,6,0,0.7991545048137135,0
444,6,0,0.7991545048137135,0
445,22,0,2.885822656397464,0
447,30,0,1.9613645717401385,0
448,32,0,1.795104620583242,0
451,0,0,1.717944123146448,0
451,2,0,3.3660602524727894,0
451,15,0,0.9243504260235744,0
452,16,0,0.8132380099239533,0
458,16,0,0.8132380099239533,0
459,15,0,0.9243504260235744,0
462,0,0,1.717944123146448,0
462,6,0,0.7991545048137135,0
463,6,0,0.7991545048137135,0
464,16,0,0.8132380099239533,0
466,39,0,1.2818617174526399,0
467,6,0,0.7991545048137135,0
471,2,0,3.3660602524727894,0
473,34,0,2.213436921491774,0
476,6,0,0.7991545048137135,0
478,28,0,1.1488874302754521,0
480,6,0,0.7991545048137135,0
482,38,0,1.5376776891587869,0
484,7,0,2.1374511574572037,0
487,7,0,2.1374511574572037,0
488,5,0,1.7508352836007226,0
489,3,0,0.6999853275868002,0
489,5,0,1.7508352836007226,0
489,39,0,1.2818617174526399,0
491,1,0,0.8633406232955072,0
494,6,0,0.7991545048137135,0
495,7,0,2.1374511574572037,0
499,12,0,2.417826650659625,0
501,0,0,1.717944123146448,0
501,5,0,1.7508352836007226,0
503,6,0,0.7991545048137135,0
503,33,0,0.2777588429399788,0
505,6,0,0.7991545048137135,0
506,6,0,0.7991545048137135,0
510,1,0,0.8633406232955072,0
512,9,0,2.8829650619604763,0
513,39,0,1.2818617174526399,0
515,28,0,1.1488874302754521,0
515,34,0,2.213436921491774,0
516,1,0,0.8633406232955072,0
516,18,0,1.9614636781999089,0
517,1,0,0.8633406232955072,0
517,6,0,0.7991545048137135,0
519,30,0,1.9613645717401385,0
519,39,0,1.2818617174526399,0
520,39,0,1.2818617174526399,0
521,10,0,2.973728255337596,0
521,33,0,0.2777588429399788,0
522,15,0,0.9243504260235744,0
524,30,0,1.9613645717401385,0
527,21,0,0.875687688935052,0
527,39,0,1.2818617174526399,0
530,15,0,0.9243504260235744,0
531,5,0,1.7508352836007226,0
534,6,0,0.7991545048137135,0
534,34,0,2.213436921491774,0
535,6,0,0.7991545048137135,0
535,38,0,1.5376776891587869,0
538,34,0,2.213436921491774,0
539,15,0,0.9243504260235744,0
539,28,0,1.1488874302754521,0
540,0,0,1.717944123146448,0
540,30,0,1.9613645717401385,0
541,4,0,2.0121899898882014,0
542,30,0,1.9613645717401385,0
544,10,0,2.973728255337596,0
544,32,0,1.795104620583242,0
546,6,0,0.7991545048137135,0
549,0,0,1.717944123146448,0
552,33,0,0.2777588429399788,0
552,39,0,1.2818617174526399,0
555,21,0,0.875687688935052,0
556,30,0,1.9613645717401385,0
560,6,0,0.7991545048137135,0
561,35,0,1.1535440860890345,0
563,15,0,0.9243504260235744,0
563,18,0,1.9614636781999089,0
569,6,0,0.7991545048137135,0
570,13,0,2.2954513216770565,0
571,25,0,3.023893482648194,0
571,33,0,0.2777588429399788,0
575,12,0,2.417826650659625,0
575,33,0,0.2777588429399788,0
576,1,0,0.8633406232955072,0
576,11,0,2.631538456820416,0
578,6,0,0.7991545048137135,0
580,6,0,0.7991545048137135,0
582,6,0,0.7991545048137135,0
583,34,0,2.213436921491774,0
583,39,0,1.2818617174526399,0
584,0,0,1.717944123146448,0
585,30,0,1.9613645717401385,0
586,1,0,0.8633406232955072,0
586,16,0,0.8132380099239533,0
586,34,0,2.213436921491774,0
590,34,0,2.213436921491774,0
594,30,0,1.9613645717401385,0
595,2,0,3.3660602524727894,0
597,5,0,1.7508352836007226,0
597,6,0,0.7991545048137135,0
599,0,0,1.717944123146448,0
602,30,0,1.9613645717401385,0
603,4,0,2.0121899898882014,0
603,6,0,0.7991545048137135,0
605,24,0,1.498130459383808,0
606,6,0,0.7991545048137135,0
606,21,0,0.875687688935052,0
607,2,0,3.3660602524727894,0
607,24,0,1.498130459383808,0
609,5,0,1.7508352836007226,0
611,3,0,0.6999853275868002,0
611,14,0,3.1496197739380114,0
611,19,0,2.9616059739279343,0
613,20,0,1.5878437776762533,0
614,1,0,0.8633406232955072,0
615,3,0,0.6999853275868002,0
615,23,0,2.150026269772477,0
617,6,0,0.7991545048137135,0
618,3,0,0.6999853275868002,0
618,6,0,0.7991545048137135,0
625,34,0,2.213436921491774,0
626,6,0,0.7991545048137135,0
626,30,0,1.9613645717401385,0
627,0,0,1.717944123146448,0
627,25,0,3.023893482648194,0
629,5,0,1.7508352836007226,0
631,0,0,1.717944123146448,0
631,6,0,0.7991545048137135,0
631,33,0,0.2777588429399788,0
632,24,0,1.498130459383808,0
633,6,0,0.7991545048137135,0
634,11,0,2.631538456820416,0
634,27,0,0.9715113243046553,0
634,39,0,1.2818617174526399,0
635,6,0,0.7991545048137135,0
635,30,0,1.9613645717401385,0
636,7,0,2.1374511574572037,0
637,6,0,0.7991545048137135,0
641,6,0,0.7991545048137135,0
643,6,0,0.7991545048137135,0
644,6,0,0.7991545048137135,0
645,1,0,0.8633406232955072,0
645,6,0,0.7991545048137135,0
646,7,0,2.1374511574572037,0
649,10,0,2.973728255337596,0
650,6,0,0.7991545048137135,0
651,7,0,2.1374511574572037,0
651,33,0,0.2777588429399788,0
652,23,0,2.150026269772477,0
656,6,0,0.7991545048137135,0
656,13,0,2.2954513216770565,0
657,14,0,3.1496197739380114,0
657,15,0,0.9243504260235744,0
659,13,0,2.2954513216770565,0
660,6,0,0.7991545048137135,0
661,15,0,0.9243504260235744,0
662,39,0,1.2818617174526399,0
663,30,0,1.9613645717401385,0
666,1,0,0.8633406232955072,0
669,0,0,1.717944123146448,0
671,10,0,2.973728255337596,0
672,3,0,0.6999853275868002,0
672,9,0,2.8829650619604763,0
672,23,0,2.150026269772477,0
676,3,0,0.6999853275868002,0
676,6,0,0.7991545048137135,0
678,6,0,0.7991545048137135,0
678,34,0,2.213436921491774,0
679,6,0,0.7991545048137135,0
679,30,0,1.9613645717401385,0
680,6,0,0.7991545048137135,0
680,13,0,2.2954513216770565,0
681,5,0,1.7508352836007226,0
683,6,0,0.7991545048137135,0
683,11,0,2.631538456820416,0
685,16,0,0.8132380099239533,0
686,2,0,3.3660602524727894,0
687,21,0,0.875687688935052,0
688,3,0,0.6999853275868002,0
688,12,0,2.417826650659625,0
689,1,0,0.8633406232955072,0
689,24,0,1.498130459383808,0
692,16,0,0.8132380099239533,0
694,6,0,0.7991545048137135,0
694,14,0,3.1496197739380114,0
694,33,0,0.2777588429399788,0
695,6,0,0.7991545048137135,0
696,33,0,0.2777588429399788,0
697,2,0,3.3660602524727894,0
698,13,0,2.2954513216770565,0
700,5,0,1.7508352836007226,0
702,7,0,2.1374511574572037,0
704,13,0,2.2954513216770565,0
706,34,0,2.213436921491774,0
706,35,0,1.1535440860890345,0
707,5,0,1.7508352836007226,0
708,6,0,0.7991545048137135,0
708,15,0,0.9243504260235744,0
708,20,0,1.5878437776762533,0
710,6,0,0.7991545048137135,0
710,12,0,2.417826650659625,0
711,3,0,0.6999853275868002,0
711,7,0,2.1374511574572037,0
713,0,0,1.717944123146448,0
714,21,0,0.875687688935052,0
715,6,0,0.7991545048137135,0
716,6,0,0.7991545048137135,0
718,1,0,0.8633406232955072,0
719,6,0,0.7991545048137135,0
719,30,0,1.9613645717401385,0
721,39,0,1.2818617174526399,0
722,28,0,1.1488874302754521,0
723,6,0,0.7991545048137135,0
724,17,0,2.2959951212550305,0
725,6,0,0.7991545048137135,0
726,16,0,0.8132380099239533,0
727,38,0,1.5376776891587869,0
727,39,0,1.2818617174526399,0
728,6,0,0.7991545048137135,0
728,30,0,1.9613645717401385,0
730,10,0,2.973728255337596,0
730,39,0,1.2818617174526399,0
733,6,0,0.7991545048137135,0
733,15,0,0.9243504260235744,0
734,6,0,0.7991545048137135,0
736,17,0,2.2959951212550305,0
736,33,0,0.2777588429399788,0
737,6,0,0.7991545048137135,0
738,7,0,2.1374511574572037,0
738,16,0,0.8132380099239533,0
740,30,0,1.9613645717401385,0
742,32,0,1.795104620583242,0
745,8,0,1.4461257405202552,0
746,33,0,0.2777588429399788,0
750,30,0,1.9613645717401385,0
750,33,0,0.2777588429399788,0
751,6,0,0.7991545048137135,0
751,10,0,2.973728255337596,0
753,1,0,0.8633406232955072,0
754,21,0,0.875687688935052,0
755,12,0,2.417826650659625,0
756,33,0,0.2777588429399788,0
757,30,0,1.9613645717401385,0
759,5,0,1.7508352836007226,0
759,8,0,1.4461257405202552,0
761,24,0,1.498130459383808,0
761,33,0,0.2777588429399788,0
763,6,0,0.7991545048137135,0
764,6,0,0.7991545048137135,0
766,39,0,1.2818617174526399,0
769,3,0,0.6999853275868002,0
770,2,0,3.3660602524727894,0
773,1,0,0.8633406232955072,0
773,14,0,3.1496197739380114,0
775,0,0,1.717944123146448,0
776,5,0,1.7508352836007226,0
776,27,0,0.9715113243046553,0
779,1,0,0.8633406232955072,0
779,34,0,2.213436921491774,0
780,30,0,1.9613645717401385,0
781,3,0,0.6999853275868002,0
781,6,0,0.7991545048137135,0
782,8,0,1.4461257405202552,0
782,34,0,2.213436921491774,0
783,0,0,1.717944123146448,0
783,33,0,0.2777588429399788,0
784,16,0,0.8132380099239533,0
786,15,0,0.9243504260235744,0
787,1,0,0.8633406232955072,0
787,24,0,1.498130459383808,0
789,0,0,1.717944123146448,0
789,6,0,0.7991545048137135,0
789,21,0,0.875687688935052,0
792,16,0,0.8132380099239533,0
793,15,0,0.9243504260235744,0
795,3,0,0.6999853275868002,0
795,14,0,3.1496197739380114,0
796,16,0,0.8132380099239533,0
798,6,0,0.7991545048137135,0
799,35,0,1.1535440860890345,0
801,6,0,0.7991545048137135,0
802,23,0,2.150026269772477,0
803,13,0,2.2954513216770565,0
806,10,0,2.973728255337596,0
808,6,0,0.7991545048137135,0
809,17,0,2.2959951212550305,0
810,0,0,1.717944123146448,0
811,5,0,1.7508352836007226,0
812,6,0,0.7991545048137135,0
812,30,0,1.9613645717401385,0
812,33,0,0.2777588429399788,0
813,34,0,2.213436921491774,0
814,33,0,0.2777588429399788,0
816,15,0,0.9243504260235744,0
817,39,0,1.2818617174526399,0
819,6,0,0.7991545048137135,0
819,7,0,2.1374511574572037,0
819,13,0,2.2954513216770565,0
820,6,0,0.7991545048137135,0
821,5,0,1.7508352836007226,0
822,1,0,0.8633406232955072,0
825,27,0,0.9715113243046553,0
825,39,0,1.2818617174526399,0
827,1,0,0.8633406232955072,0
827,39,0,1.2818617174526399,0
831,6,0,0.7991545048137135,0
832,24,0,1.498130459383808,0
834,6,0,0.7991545048137135,0
834,33,0,0.2777588429399788,0
836,1,0,0.8633406232955072,0
837,18,0,1.9614636781999089,0
842,15,0,0.9243504260235744,0
842,39,0,1.2818617174526399,0
843,13,0,2.2954513216770565,0
844,1,0,0.8633406232955072,0
844,30,0,1.9613645717401385,0
846,15,0,0.9243504260235744,0
849,16,0,0.8132380099239533,0
849,33,0,0.2777588429399788,0
850,33,0,0.2777588429399788,0
850,34,0,2.213436921491774,0
852,15,0,0.9243504260235744,0
853,19,0,2.9616059739279343,0
855,17,0,2.2959951212550305,0
856,33,0,0.2777588429399788,0
857,17,0,2.2959951212550305,0
858,30,0,1.9613645717401385,0
860,23,0,2.150026269772477,0
860,30,0,1.9613645717401385,0
861,30,0,1.9613645717401385,0
864,0,0,1.717944123146448,0
865,30,0,1.9613645717401385,0
866,1,0,0.8633406232955072,0
868,1,0,0.8633406232955072,0
868,16,0,0.8132380099239533,0
869,15,0,0.9243504260235744,0
870,5,0,1.7508352836007226,0
870,19,0,2.9616059739279343,0
871,34,0,2.213436921491774,0
872,30,0,1.9613645717401385,0
874,0,0,1.717944123146448,0
879,7,0,2.1374511574572037,0
880,7,0,2.1374511574572037,0
881,17,0,2.2959951212550305,0
881,35,0,1.1535440860890345,0
882,3,0,0.6999853275868002,0
882,7,0,2.1374511574572037,0
885,5,0,1.7508352836007226,0
888,1,0,0.8633406232955072,0
888,17,0,2.2959951212550305,0
889,16,0,0.8132380099239533,0
892,6,0,0.7991545048137135,0
893,6,0,0.7991545048137135,0
894,30,0,1.9613645717401385,0
894,33,0,0.2777588429399788,0
895,30,0,1.9613645717401385,0
896,36,0,1.2868525769099313,1
897,9,0,2.8829650619604763,0
898,30,0,1.9613645717401385,0
902,6,0,0.7991545048137135,0
902,14,0,3.1496197739380114,0
904,3,0,0.6999853275868002,0
904,39,0,1.2818617174526399,0
906,7,0,2.1374511574572037,0
906,33,0,0.2777588429399788,0
907,15,0,0.9243504260235744,0
910,15,0,0.9243504260235744,0
912,8,0,1.4461257405202552,0
916,11,0,2.631538456820416,0
917,29,0,1.3732934469615579,0
920,33,0,0.2777588429399788,0
923,6,0,0.7991545048137135,0
923,15,0,0.9243504260235744,0
924,30,0,1.9613645717401385,0
926,0,0,1.717944123146448,0
927,3,0,0.6999853275868002,0
927,4,0,2.0121899898882014,0
927,6,0,0.7991545048137135,0
930,6,0,0.7991545048137135,0
931,6,0,0.7991545048137135,0
933,6,0,0.7991545048137135,0
934,0,0,1.717944123146448,0
934,2,0,3.3660602524727894,0
934,6,0,0.7991545048137135,0
936,6,0,0.7991545048137135,0
936,15,0,0.9243504260235744,0
938,6,0,0.7991545048137135,0
939,30,0,1.9613645717401385,0
940,29,0,1.3732934469615579,0
941,21,0,0.875687688935052,0
942,5,0,1.7508352836007226,0
944,34,0,2.213436921491774,0
945,5,0,1.7508352836007226,0
945,6,0,0.7991545048137135,0
945,15,0,0.9243504260235744,0
947,6,0,0.7991545048137135,0
947,30,0,1.9613645717401385,0
948,5,0,1.7508352836007226,0
948,6,0,0.7991545048137135,0
949,2,0,3.3660602524727894,0
950,34,0,2.213436921491774,0
951,1,0,0.8633406232955072,0
955,10,0,2.973728255337596,0
955,21,0,0.875687688935052,0
957,6,0,0.7991545048137135,0
958,6,0,0.7991545048137135,0
960,16,0,0.8132380099239533,0
961,1,0,0.8633406232955072,0
962,6,0,0.7991545048137135,0
965,16,0,0.8132380099239533,0
967,30,0,1.9613645717401385,0
968,24,0,1.498130459383808,0
968,30,0,1.9613645717401385,0
970,6,0,0.7991545048137135,0
971,34,0,2.213436921491774,0
972,6,0,0.7991545048137135,0
975,1,0,0.8633406232955072,0
978,9,0,2.8829650619604763,0
980,23,0,2.150026269772477,0
981,5,0,1.7508352836007226,0
982,6,0,0.7991545048137135,0
982,34,0,2.213436921491774,0
983,0,0,1.717944123146448,0
983,1,0,0.8633406232955072,0
983,39,0,1.2818617174526399,0
984,27,0,0.9715113243046553,0
990,1,0,0.8633406232955072,0
991,0,0,1.717944123146448,0
991,30,0,1.9613645717401385,0
992,23,0,2.150026269772477,0
993,6,0,0.7991545048137135,0
995,4,0,2.0121899898882014,0
996,0,0,1.717944123146448,0
1000,7,0,2.1374511574572037,0
1001,6,0,0.7991545048137135,0
1001,10,0,2.973728255337596,0
1001,15,0,0.9243504260235744,0
1003,6,0,0.7991545048137135,0
1005,6,0,0.7991545048137135,0
1006,6,0,0.7991545048137135,0
1006,17,0,2.2959951212550305,0
1006,38,0,1.5376776891587869,0
1007,1,0,0.8633406232955072,0
1009,6,0,0.7991545048137135,0
1012,0,0,1.717944123146448,0
1012,39,0,1.2818617174526399,0
1015,6,0,0.7991545048137135,0
1016,39,0,1.2818617174526399,0
1017,34,0,2.213436921491774,0
1018,7,0,2.1374511574572037,0
1019,1,0,0.8633406232955072,0
1021,1,0,0.8633406232955072,0
1021,6,0,0.7991545048137135,0
1022,6,0,0.7991545048137135,0
1025,1,0,0.8633406232955072,0
1026,39,0,1.2818617174526399,0
1027,1,0,0.8633406232955072,0
1027,32,0,1.795104620583242,0
1029,32,0,1.795104620583242,0
1029,34,0,2.213436921491774,0
1032,33,0,0.2777588429399788,0
1035,12,0,2.417826650659625,0
1037,1,0,0.8633406232955072,0
1039,30,0,1.9613645717401385,0
1042,1,0,0.8633406232955072,0
1045,5,0,1.7508352836007226,0
1047,1,0,0.8633406232955072,0
1049,28,0,1.1488874302754521,0
1049,39,0,1.2818617174526399,0
1050,39,0,1.2818617174526399,0
1051,39,0,1.2818617174526399,0
1054,21,0,0.875687688935052,0
1055,36,0,1.2868525769099313,1
1055,39,0,1.2818617174526399,0
1059,18,0,1.9614636781999089,0
1060,39,0,1.2818617174526399,0
1062,34,0,2.213436921491774,0
1063,2,0,3.3660602524727894,0
1063,6,0,0.7991545048137135,0
1065,7,0,2.1374511574572037,0
1065,32,0,1.795104620583242,0
1066,6,0,0.7991545048137135,0
1066,27,0,0.9715113243046553,0
1067,15,0,0.9243504260235744,0
1068,3,0,0.6999853275868002,0
1068,5,0,1.7508352836007226,0
1069,6,0,0.7991545048137135,0
1069,34,0,2.213436921491774,0
